recovered_image,rmse
_MG_5583.jpg,4.635248258
_MG_4688.jpg,3.183177995
_MG_3118.jpg,4.460375381
IMG_5453.jpg,5.215979982
IMG_6827.jpg,5.897421122
IMG_5651.jpg,5.109305904
_MG_4071.jpg,2.90654931
IMG_5686.jpg,6.123202482
_MG_4732.jpg,4.652814795
_MG_2394.jpg,4.718627732
_MG_2380.jpg,3.213243286
_MG_3263.jpg,2.919951382
_MG_3317.jpg,3.69970262
_MG_6535.jpg,4.041586431
IMG_6037.jpg,6.330653657
_MG_5969.jpg,3.965487817
_MG_4849.jpg,4.470724117
_MG_4294.jpg,4.062928625
_MG_6681.jpg,7.121743025
_MG_4082.jpg,3.027445862
IMG_6432.jpg,7.368722148
IMG_6397.jpg,3.985841136
IMG_6197.jpg,3.862531945
IMG_6815.jpg,4.229436128
IMG_2454.jpg,5.408315334
IMG_5475.jpg,4.577768131
IMG_6579.jpg,4.600584687
_MG_5599.jpg,5.0404242
IMG_6035.jpg,6.507922999
IMG_6790.jpg,5.06183117
IMG_6800.jpg,5.248843705
IMG_6343.jpg,4.216720485
_MG_6655.jpg,4.019988423
_MG_6645.jpg,4.407420972
_MG_6651.jpg,4.342462839
_MG_6241_1.jpg,4.287802019
IMg_2451.jpg,4.527952413
_MG_6719.jpg,4.123276155
_MG_4866.jpg,3.94709377
_MG_6042.jpg,4.414227131
IMG_6742.jpg,6.621451721
IMg_2450.jpg,4.655774984
IMG_6193.jpg,6.304730259
IMG_5667.jpg,5.07056273
IMG_6385.jpg,7.733620444
_MG_2385.jpg,5.005096795
IMG_6436.jpg,6.000620576
_MG_3299.jpg,3.248812932
IMG_5467.jpg,5.372989023
IMG_6608.jpg,5.403876784
_MG_3104.jpg,4.206079223
_MG_4124.jpg,3.084585392
_MG_6727.jpg,5.781319873
IMG_6741.jpg,6.94811527
_MG_5659.jpg,3.806033336
IMG_6726.jpg,6.427366186
IMG_5561.jpg,6.868035885
_MG_3837.jpg,4.244477913
_MG_3189.jpg,3.508128051
IMG_6900.jpg,4.875850747
_MG_4368.jpg,3.543553681
_MG_6190.jpg,4.878180561
_MG_3956.jpg,3.265119839
IMG_7017.jpg,8.19742681
_MG_6186.jpg,4.808689483
IMG_6876.jpg,6.641430005
IMG_6080.jpg,5.081327729
_MG_2914.jpg,5.95131288
_MG_2928.jpg,5.902500069
_MG_2759_1.jpg,4.841197612
_MG_3148.jpg,3.848293788
_MG_2915.jpg,5.966805291
IMG_6687.jpg,5.661594149
IMG_5629.jpg,3.489304715
_MG_6626.jpg,4.706674144
IMG_6640.jpg,5.649098785
IMG_6898.jpg,4.632969793
_MG_5878.jpg,6.332258436
_MG_6550.jpg,8.065178088
_MG_4353.jpg,2.212113089
_MG_4390.jpg,3.028715394
IMG_6708.jpg,7.027718734
IMG_6735.jpg,6.400443797
_MG_6586.jpg,3.656415595
_MG_2760_1.jpg,5.352447728
_MG_3213.jpg,4.356780586
_MG_5662.jpg,4.040596937
_MG_6419.jpg,3.34564727
IMG_6866.jpg,4.372617974
IMG_6325.jpg,4.570473707
_MG_6433.jpg,3.270983656
IMG_2419.jpg,4.839248997
_MG_2912.jpg,5.529091308
_MG_4812.jpg,3.9104548
_MG_4184.jpg,5.380193366
_MG_3628.jpg,2.813003372
IMG_5559.jpg,5.956088176
_MG_4231.jpg,3.639094282
_MG_5885.jpg,5.999740973
average,4.802019381
